District,Sex,Year,Population
1,0,2005,40400
1,0,2006,40178
1,0,2007,40058
1,0,2008,40069
1,0,2009,40022
1,0,2010,39704
1,0,2011,39606
1,0,2012,39636
1,0,2013,39589
1,0,2014,39888
1,0,2015,40150
1,0,2016,40318
1,0,2017,40961
1,0,2018,41933
1,0,2019,43507
1,0,2020,43462
1,1,2005,40650
1,1,2006,40321
1,1,2007,40200
1,1,2008,40124
1,1,2009,40097
1,1,2010,39931
1,1,2011,39868
1,1,2012,39851
1,1,2013,39883
1,1,2014,39945
1,1,2015,40123
1,1,2016,40346
1,1,2017,40621
1,1,2018,40977
1,1,2019,41539
1,1,2020,41439
2,0,2005,58864
2,0,2006,58792
2,0,2007,58884
2,0,2008,59163
2,0,2009,59364
2,0,2010,59166
2,0,2011,59276
2,0,2012,60666
2,0,2013,63091
2,0,2014,66600
2,0,2015,69778
2,0,2016,72424
2,0,2017,76988
2,0,2018,82186
2,0,2019,88625
2,0,2020,89747
2,1,2005,60491
2,1,2006,60281
2,1,2007,60394
2,1,2008,60569
2,1,2009,60833
2,1,2010,60870
2,1,2011,61067
2,1,2012,62288
2,1,2013,63889
2,1,2014,66452
2,1,2015,68909
2,1,2016,71349
2,1,2017,74676
2,1,2018,77987
2,1,2019,81595
2,1,2020,81859
3,0,2005,29619
3,0,2006,30050
3,0,2007,30560
3,0,2008,31171
3,0,2009,31738
3,0,2010,32090
3,0,2011,32608
3,0,2012,33240
3,0,2013,34035
3,0,2014,34594
3,0,2015,35177
3,0,2016,35680
3,0,2017,36548
3,0,2018,37811
3,0,2019,39416
3,0,2020,39526
3,1,2005,29754
3,1,2006,29940
3,1,2007,30277
3,1,2008,30648
3,1,2009,31061
3,1,2010,31363
3,1,2011,31741
3,1,2012,32111
3,1,2013,32438
3,1,2014,32824
3,1,2015,33265
3,1,2016,33507
3,1,2017,33942
3,1,2018,34564
3,1,2019,35173
3,1,2020,35305
4,0,2005,28184
4,0,2006,28233
4,0,2007,28358
4,0,2008,28573
4,0,2009,28750
4,0,2010,28732
4,0,2011,28859
4,0,2012,29025
4,0,2013,29207
4,0,2014,29373
4,0,2015,29636
4,0,2016,29924
4,0,2017,30228
4,0,2018,30944
4,0,2019,31672
4,0,2020,31847
4,1,2005,28857
4,1,2006,28788
4,1,2007,28871
4,1,2008,28986
4,1,2009,29137
4,1,2010,29187
4,1,2011,29304
4,1,2012,29499
4,1,2013,29629
4,1,2014,29785
4,1,2015,30047
4,1,2016,30207
4,1,2017,30464
4,1,2018,30745
4,1,2019,31061
4,1,2020,31080
5,1,2005,28688
5,1,2006,29103
5,1,2007,29669
5,1,2008,30267
5,1,2009,30909
5,1,2010,31440
5,1,2011,32044
5,1,2012,32556
5,1,2013,33224
5,1,2014,34244
5,1,2015,35646
5,1,2016,37077
5,1,2017,39013
5,1,2018,40813
5,1,2019,42469
5,1,2020,42391
5,0,2005,28485
5,0,2006,28967
5,0,2007,29525
5,0,2008,30178
5,0,2009,30794
5,0,2010,31202
5,0,2011,31770
5,0,2012,32215
5,0,2013,32983
5,0,2014,34253
5,0,2015,35759
5,0,2016,37259
5,0,2017,39537
5,0,2018,42211
5,0,2019,45077
5,0,2020,44881
6,1,2005,15721
6,1,2006,15664
6,1,2007,15687
6,1,2008,15725
6,1,2009,15787
6,1,2010,15793
6,1,2011,15827
6,1,2012,15821
6,1,2013,15828
6,1,2014,15953
6,1,2015,16029
6,1,2016,16148
6,1,2017,16386
6,1,2018,16637
6,1,2019,16965
6,1,2020,17087
6,0,2005,15286
6,0,2006,15299
6,0,2007,15349
6,0,2008,15453
6,0,2009,15535
6,0,2010,15511
6,0,2011,15576
6,0,2012,15601
6,0,2013,15628
6,0,2014,15780
6,0,2015,15896
6,0,2016,16058
6,0,2017,16337
6,0,2018,16751
6,0,2019,17465
6,0,2020,17476
